"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940-2025-07-16T16:57:15.644Z-compiled","8150503-RE-PU-CELECEP-2025-04197","","Ver detalle completo en documento adjunto.","","2025-06-18T10:39:52-05:00","46513.35","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178-2025-07-23T17:00:37.046Z-compiled","8152341-RE-PU-EPP-2025-004","","CUMLE CON LAS CONDICIONES ESTABLECIDS EN EL PLIEGO","","2025-06-23T17:30:49-05:00","494860.33","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702-2025-07-03T17:28:58.094Z-compiled","8152328-RE-PU-DHG-2025-008","","Por cumplir con los requisitos establecidos en  el pliego y parámetros solicitados.","","2025-06-12T15:55:43-05:00","41051.26","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497-2025-07-02T17:40:01.560Z-compiled","8140328-RE-PU-HEJCA-2025-047","","Por cumplir con todos los requisitos solicitados en el pliego","","2025-06-17T16:13:44-05:00","20141.94","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620-2025-07-09T17:50:16.923Z-compiled","8152892-RE-PU-GADG-2025-002","","Cumple con los requisitos solicitados en los pliegos","","2025-06-17T16:45:11-05:00","22096.26","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020-2025-07-18T17:01:41.727Z-compiled","8118820-RE-PU-SNAI-2025-003","","Segun la Resolucion SNAI-CGAF-2025-0017-R se procede a adjudicar el siguiente proceso a AMBACAR","","2025-06-10T14:22:57-05:00","70591.56","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706-2025-08-12T22:31:16.043Z-compiled","8152850-RE-PU-HOSNAG-2025-006","","POR CUMPLIR CON TODOS LOS PARÁMETROS ESTABLECIDOS EN LOS PLIEGOS Y ESPECIFICACIONES TÉCNICAS","","2025-06-20T12:10:35-05:00","11520.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514-2025-06-20T17:01:43.946Z-compiled","8143647-RE-PU-ULEAM-2025-002","","Cumple con lo solicitado en los términos de referencias y los pliegos.","","2025-06-11T19:21:18-05:00","17445.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177-2025-07-12T17:13:36.305Z-compiled","8143801-RE-PU-UTMACH-2025-001","","cumple","","2025-06-13T08:41:32-05:00","31987.94","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","8150982-RE-PU-CB_CM-2025-003","","CUMPLE CON LOS SOLICITADO POR LA ENTIDAD CONTRATANTE","","2025-06-23T10:52:30-05:00","904.49","USD","","","","","","","",""
