"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940-2025-07-16T16:57:15.644Z-compiled","2272013-RE-PU-CELECEP-2025-04197","8150503-RE-PU-CELECEP-2025-04197","","","terminated","2025-07-09T00:00:00-05:00","2027-07-09T00:00:00-05:00","","730","46513.35","USD","2025-07-08T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178-2025-07-23T17:00:37.046Z-compiled","2273046-RE-PU-EPP-2025-004","8152341-RE-PU-EPP-2025-004","","","terminated","2025-07-10T00:00:00-05:00","2026-01-06T00:00:00-05:00","","180","494860.33","USD","2025-07-09T00:00:00-05:00"
"ocds-5wno2w-RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702-2025-07-03T17:28:58.094Z-compiled","2270280-RE-PU-DHG-2025-008","8152328-RE-PU-DHG-2025-008","","","terminated","2025-06-30T00:00:00-05:00","2026-02-25T00:00:00-05:00","","240","41051.26","USD","2025-06-30T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497-2025-07-02T17:40:01.560Z-compiled","2270096-RE-PU-HEJCA-2025-047","8140328-RE-PU-HEJCA-2025-047","","","terminated","2025-06-27T00:00:00-05:00","2025-11-24T00:00:00-05:00","","150","20141.94","USD","2025-06-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620-2025-07-09T17:50:16.923Z-compiled","2271043-RE-PU-GADG-2025-002","8152892-RE-PU-GADG-2025-002","","","terminated","2025-07-03T00:00:00-05:00","2026-07-03T00:00:00-05:00","","365","22096.26","USD","2025-07-03T00:00:00-05:00"
"ocds-5wno2w-RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020-2025-07-18T17:01:41.727Z-compiled","2272485-RE-PU-SNAI-2025-003","8118820-RE-PU-SNAI-2025-003","","","terminated","2025-07-01T00:00:00-05:00","2026-02-26T00:00:00-05:00","","240","70591.56","USD","2025-07-01T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706-2025-08-12T22:31:16.043Z-compiled","2273851-RE-PU-HOSNAG-2025-006","8152850-RE-PU-HOSNAG-2025-006","","","terminated","2025-07-08T00:00:00-05:00","2025-12-05T00:00:00-05:00","","150","11520.00","USD","2025-07-08T00:00:00-05:00"
"ocds-5wno2w-RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514-2025-06-20T17:01:43.946Z-compiled","2268484-RE-PU-ULEAM-2025-002","8143647-RE-PU-ULEAM-2025-002","","","terminated","2025-06-19T00:00:00-05:00","2025-06-24T00:00:00-05:00","","5","17445.00","USD","2025-06-19T00:00:00-05:00"
"ocds-5wno2w-RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177-2025-07-12T17:13:36.305Z-compiled","2271397-RE-PU-UTMACH-2025-001","8143801-RE-PU-UTMACH-2025-001","","","terminated","2025-11-17T00:00:00-05:00","2026-11-17T00:00:00-05:00","","365","31987.94","USD","2025-07-07T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497-2025-06-20T17:01:42.174Z-compiled","2268344-RE-PU-HEJCA-2025-152","8119535-RE-PU-HEJCA-2025-152","","","terminated","2025-06-16T00:00:00-05:00","2025-11-13T00:00:00-05:00","","150","41502.72","USD","2025-06-16T00:00:00-05:00"
"ocds-5wno2w-RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745-2025-07-10T17:27:50.373Z-compiled","2270166-RE-PU-GADGPA-2025-001","8148811-RE-PU-GADGPA-2025-001","","","terminated","2025-07-01T00:00:00-05:00","2027-06-21T00:00:00-05:00","","720","49331.14","USD","2025-07-01T00:00:00-05:00"
