"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940-2025-07-16T16:57:15.644Z-compiled","TPI SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS CAMIONETAS GREAT WALL ADQUIRIDAS MEDIANTE CATALOGO ELECTRONICO","6110101008-0503010101-0401010001-05PAC25294","","46513.35","USD"
"ocds-5wno2w-RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178-2025-07-23T17:00:37.046Z-compiled","ADQUISICIÓN DE EXTRACTOR DE CASQUILLO Y BRAZO ARTICULADO","1265104","","494860.33","USD"
"ocds-5wno2w-RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702-2025-07-03T17:28:58.094Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO YCORRECTIVO PARA LOS VEHÍCULOS POLICIALES MARCA MERCEDESBENZ DE LA DIRECCIÓN HOSPITALARIA GUAYAQUIL","2025.058.0002.0000.91.00.000.001.000.0901.530405.000000.001.0000.0000-","","41051.28","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497-2025-07-02T17:40:01.560Z-compiled","ADQUISICIÓN DE ASCIMINIB SOLIDO ORAL 40 MG","530809","","20141.94","USD"
"ocds-5wno2w-RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620-2025-07-09T17:50:16.923Z-compiled","ADQUISICIÓN DE REPUESTOS, ACCESORIOS Y SERVICIO DE MANTENIMIENTO PREVENTIVO DE VOLQUETES DONGFENG PLACAS LMA-1329, LMA-1330 DE PROPIEDAD DEL GAD-GONZANAMÁ","361.73.08.13361.73.08.03361.73.08.05361.73.04.0","","22096.26","USD"
"ocds-5wno2w-RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020-2025-07-18T17:01:41.727Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LAS CAMIONETAS MARCAGREAT WALL MODELO POER DEL SNAI","2025.578.9999.0000.01.00.000.001.000.1701.530813.000000.001.0000.0000-","","70591.56","USD"
"ocds-5wno2w-RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706-2025-08-12T22:31:16.043Z-compiled","MANTENIMIENTO PREVENTIVO DE EQUIPOS MEDICOS DEL CENTRO QUIRURGICO CON GARANTIA EXTENDIDA POR VIGENCIA TECNOLOGICA HOSNAG 2025","2025.070.3030.0000.92.00.000.003.000.0901.530404.000000.002.0000.0000-","","11520.00","USD"
"ocds-5wno2w-RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514-2025-06-20T17:01:43.946Z-compiled","SERVICIO DE ACCESO A UNA BASE DE DATOS PARA ANÁLISIS LEGAL PARA LA VISUALIZACIÓN DE LIBROS, REVISTAS, TEXTO COMPLETO, LEGISLACIÓN, NORMATIVA Y JURISPRUDENCIA CON COBERTURA DE DIFERENTES PAÍSES, CON HERRAMIENTAS DE ANÁLISIS LEGAL BASADAS EN IA.","2025.174.9999.0000.82.00.000.001.000.1308.530702.000000.003.0000.0000-","","17445.00","USD"
"ocds-5wno2w-RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177-2025-07-12T17:13:36.305Z-compiled","SUSCRIPCIÓN DE LA BASE DE DATOS EBSCO HOST PARA LA BIBLIOTECA GENERAL DE LA UNIVERSIDAD TÉCNICA DE MACHALA","2025.164.0000.0000.83.00.000.001.000.0701.530204.000000.001.0000.0000-","","31987.94","USD"
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","Mantenimiento preventivo y correctivo de la camioneta GREAT WALL modelo 7 con vigencia tecnológica del CBCM","53.04.05","","1677.83","USD"
"ocds-5wno2w-RE-PU-CGFAE-2025-002-2679","RE-PU-CGFAE-2025-002-2679-2025-06-10T15:49:56.244Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA 20 VEHÍCULOS TIPO CAMIONETAS 4X2 EN CUMPLIMIENTO A LA VIGENCIA TECNOLÓGICA","2025.070.2999.0000.91.00.000.008.000.1701.530405.000000.001.0000.0000-","","67606.76","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497-2025-06-20T17:01:42.174Z-compiled","ADQUISICIÓN ABEMACICLIB SOLIDO ORAL 150 MG","530809","","41502.72","USD"
"ocds-5wno2w-RE-PU-ETAPA-2025-03-312203","RE-PU-ETAPA-2025-03-312203-2025-06-26T16:31:30.438Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO, REPARACIÓN Y PROVISIÓN DE REPUESTOS PARA LOS EQUIPOS ESPECIALES DE HIDROSUCCIÓN DE LA EMPRESAPÚBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE,ALCANTARILLADO Y SANEAMIENTO DE CUENCA - ETAPA EP","6304040010000","","399947.00","USD"
"ocds-5wno2w-RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745-2025-07-10T17:27:50.373Z-compiled","SERVICIO DE MANTENIMIENTO CORRECTIVO POR VIGENCIA TECNOLÓGICA QUE INCLUYE LA PROVISIÓN DE REPUESTOS PARA LAS TRES 3 FURGONETAS JAC VAN SUNRAY HFC6601K1H AC 2.7 4P 4X2 TM DIESEL PERTENECIENTES AL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL AZUA","730813","","49331.14","USD"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-006-748941","RE-PU-CMFIEDM-2025-006-748941-2025-08-12T22:30:58.502Z-compiled","Insulina Ultrarápida Lispro Líquido Parenteral 100UI/ml caja x cartuchos / plumas","530809","","9328.80","USD"
"ocds-5wno2w-RE-PU-IESSHGM-2025-01-57617","RE-PU-IESSHGM-2025-01-57617-2025-08-28T18:56:59.451Z-compiled","MANTENIMIENTOPREVENTIVO Y CORRECTIVO DEL TOMOGRAFO AXIALCOMPUTARIZADO MULTICORTE DE 16 CORTES MARCA SIEMENSMODELO SOMATON EMOTION SERIE 86545 DEL AREA DEIMAGENOLOGIA DEL HOSPITAL GENERAL MILAGRO","530404","","42156.00","USD"
"ocds-5wno2w-RE-PU-CBDMQ-2025-001-2525","RE-PU-CBDMQ-2025-001-2525-2025-07-22T17:04:38.864Z-compiled","OVERHAUL DE COMPONENTE HELICOPTERO A109K2 FCU Y ADQUISICION DE SISTEMA DE TRACKING DE VUELO Y TRANSMISION PRINCIPAL","730405,840111","","784245.29","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-018-54651","RE-PU-HCAM-2025-018-54651-2025-07-15T16:57:58.923Z-compiled","Adquisición del medicamento EMICIZUMAB LIQUIDO PARENTERAL S.I. 150 MG/ML CJ X VIAL X 0,7 ML para la Unidad Técnica de Farmacia Hospitalaria.","530809","","305672.40","USD"
"ocds-5wno2w-RE-PU-DNCTSV-2025-001-2506","RE-PU-DNCTSV-2025-001-2506-2025-06-04T15:47:21.585Z-compiled","CONTRATACIÓN DEUN TALLER AUTORIZADO PARA EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR VIGENCIA TECNOLÓGICA PARALOS PATRULLEROS TIPO CAMIONETA DOBLE CABINA 4X4, PERTENECIENTES A LA DIRECCIÓN NACIONAL DE CONTROL DE TRÁNSITO Y SEGURIDAD VIAL","2025.052.0081.0000.01.00.000.001.000.1701.530405.000000.001.0000.0000-","","506995.08","USD"
"ocds-5wno2w-RE-PU-GADCUMBARATZA-2025-006-110599","RE-PU-GADCUMBARATZA-2025-006-110599-2025-06-04T15:45:06.910Z-compiled","ADQUISICIÓN DE COMBUSTIBLE PARA MAQUINARIA PESADA Y MAQUINARIA MENOR DEL GAD PARROQUIAL DE CUMBARATZA","73.06.55","","6.00","USD"
"ocds-5wno2w-RE-PU-IIIDE-2025-03-104585","RE-PU-IIIDE-2025-03-104585-2025-07-03T17:28:55.985Z-compiled","Servicio de mantenimiento preventivo de los vehículos con vigencia tecnológica que son asignados a las unidades de la IIIDE ?TARQUI?.","2025.070.1014.0000.57.00.000.002.000.0101.530405.000000.001.0000.0000-","","8954.98","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-153-87497","RE-PU-HEJCA-2025-153-87497-2025-07-08T17:48:26.185Z-compiled","ADQUISICIÓN DE INMUNOGLOBULINA HUMANA NORMAL LIQUIDO PARENTERAL PARA ADMINISTRACION INTRAVASCULAR LIQUIDOPARENTERAL 100 MG/ML","530809","","676026.00","USD"
"ocds-5wno2w-RE-PU-UA-2025-001-596700","RE-PU-UA-2025-001-596700-2025-06-27T16:25:43.653Z-compiled","ACTUALIZACIÓN DETECNOLOGÍAS BACKEND Y FRONTEND DEL SISTEMA DE GESTIÓN ACADÉMICA PARALA UNIVERSIDAD DE LAS ARTES","2025.086.9999.0000.01.00.000.001.000.0901.530701.000000.001.0000.0000-","","10000.00","USD"
"ocds-5wno2w-RE-PU-UNACH-2025-004-124774","RE-PU-UNACH-2025-004-124774-2025-07-01T17:39:20.728Z-compiled","SERVICIO DE MANTENIMIENTO VEHÍCULOS ELÉCTRICOS DE PROPIEDADDE LA UNIVERSIDAD NACIONAL DE CHIMBORAZO, 2025","2025.180.0000.0000.01.00.000.002.000.0601.530405.000000.001.0000.0000-","","2000.00","USD"
"ocds-5wno2w-RE-PU-CBDMQ-2025-002-2525","RE-PU-CBDMQ-2025-002-2525-2025-07-22T17:04:40.741Z-compiled","CONTRATACIÓN DE UN TALLER ESPECIALIZADO EN AVIACIÓN OMA PARA EL MANTENIMIENTO PREVENTIVO CORRECTIVO PARA EL HELICÓPTERO DEL CBDMQ","530813,530405,530803","","625090.84","USD"
"ocds-5wno2w-RE-PU-HOSNAG-2025-007-2706","RE-PU-HOSNAG-2025-007-2706-2025-07-23T17:00:42.425Z-compiled","MANTENIMIENTO PREVENTIVO DEL ESTERILIZADOR DE VAPOR TUTTNAUERGARANTÍA EXTENDIDA POR VIGENCIA TECNOLÓGICA","2025.070.3030.0000.92.00.000.003.000.0901.530404.000000.001.0000.0000-","","8160.00","USD"
"ocds-5wno2w-RE-PU-GADMP_-2025-002-51620","RE-PU-GADMP_-2025-002-51620-2025-08-26T19:01:06.718Z-compiled","SERVICIO DE ABASTECIMIENTO DE COMBUSTIBLE DIÉSEL PARA VEHÍCULOS Y MAQUINARIA PESADA PERTENECIENTE AL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA DEL PROYECTO AMPLIACIÓN DE LA COBERTURA Y MEJORAMIENTO DE LA CALIDAD DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO E INFRAESTRUCTURA DE SOPORTE DEL CANTÓN PAQUISHA","331.73.02.55","","118113.12","USD"
"ocds-5wno2w-RE-PU-GADPSE-2025-02-30375","RE-PU-GADPSE-2025-02-30375-2025-07-12T17:13:39.461Z-compiled","ADQUISICIÓN DE REPUESTOS Y LUBRICANTES PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS MAQUINARIAS KOMATSU Y HAMM DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA","73.08.03,73.08.13,77.01.02","","211123.97","USD"
"ocds-5wno2w-RE-PU-GADMCPZ-2025-001-2345","RE-PU-GADMCPZ-2025-001-2345-2025-07-19T17:16:43.138Z-compiled","SERVICIO DE IMPRESIÓN DE ESPECIES VALORADAS PARA EL SISTEMA DE ESTACIONAMIENTO ROTATIVO ORDENADO TARIFADO SEROT-P DE LA CIUDAD DE PUYO, CANTÓN Y PROVINCIA DE PASTAZA","730204","","7435.50","USD"
"ocds-5wno2w-RE-PU-UINPIAW23-2025-001-959480","RE-PU-UINPIAW23-2025-001-959480-2025-08-22T18:35:57.726Z-compiled","Contratacion del servicio de suscripcion de acceso y uso de la plataforma digital COGNOCYT para la Universidad Intercultural de las Nacionalidades y Pueblos Indigenas Amawtay Wasi","2025.584.0000.0000.82.00.001.001.000.1701.730702.000000.202.8888.8888-95840000.0000.387126","","7000.00","USD"
"ocds-5wno2w-RE-PU-MIMG-2025-002-44856","RE-PU-MIMG-2025-002-44856-2025-08-12T22:32:10.649Z-compiled","CONTRATACIÓN DEL SERVICIO DE EXHIBICIÓN, MANEJO Y CONSERVACIÓN DE PIEZAS HISTÓRICAS DEPORTIVAS DE LOS MUSEOS BARCELONA SPORTING CLUB Y CLUB SPORT EMELEC","730221","","69913.50","USD"
"ocds-5wno2w-RE-PU-UNACH-2025-003-124774","RE-PU-UNACH-2025-003-124774-2025-06-06T15:46:39.869Z-compiled","CONTRATACIÓN DE SUSCRIPCIÓN A PLATAFORMAS DIGITALES POR MEDIO DE PROQUEST:PROQUEST CENTRAL + PRISMA Y PROQUEST EBOOK CENTRAL ACADEMIC COMPLETE PARAACTIVIDADES ACADÉMICAS Y DE INVESTIGACIÓN DE LA UNIVERSIDAD NACIONAL DECHIMBORAZO, AÑO 2025","2025.180.0000.0000.82.00.000.003.000.0601.530702.000000.001.0000.0000-","","16947.99","USD"
"ocds-5wno2w-RE-PU-CELECEP-2025-02176-238940","RE-PU-CELECEP-2025-02176-238940-2025-07-12T17:16:36.709Z-compiled","EGU ADQUISICION  DE REPUESTOS PARA VALVULAS DE CONTROL DE LA CENTRAL ENRIQUE GARCIA","5110200304","","50280.00","USD"
"ocds-5wno2w-RE-PU-BCBG-2025-0010-2528","RE-PU-BCBG-2025-0010-2528-2025-07-16T16:57:19.468Z-compiled","CONTRATACIÓN DEL SERVICIO DE SOPORTE Y MANTENIMIENTO PARA EL SISTEMA CG/WEB, MÓDULO FINANCIERO INTEGRADO, MÓDULO ACTIVOS FIJOS Y MÓDULO DE BODEGA INTEGRADO DEL BENEMÉRITO CUERPO DE BOMBEROS DE GUAYAQUIL","5.3.07.01","","38769.84","USD"
"ocds-5wno2w-RE-PU-SZZCH-2025-008-178816","RE-PU-SZZCH-2025-008-178816-2025-06-06T15:46:40.006Z-compiled","?CONTRATACIÓN DE UN TALLER PARA ELMANTENIMIENTO PREVENTIVO, CORRECTIVO, REPARACIÓN, PARALOS VEHÍCULOS POLICIALES MARCA KIA DE LA SUBZONA ZAMORACHINCHIPE, PARA EL AÑO 2025 Y PLURIANUAL 2026","2025.052.0044.0000.01.00.000.001.000.1901.530104.000000.001.0000.0000-","","11000.00","USD"
"ocds-5wno2w-RE-PU-GADPP-2025-11-2426","RE-PU-GADPP-2025-11-2426-2025-06-19T16:59:10.471Z-compiled","SERVICIO DE SUSCRIPCIÓNANUAL DE SOFTWARE DE INFORMACIÓN GEOGRÁFICA PARA USO DE LOSFUNCIONARIOS DE LAS ÁREAS REQUIRENTES DEL GADPP","38.39.106.763.006.2025.730702.001.17.01.50.J91.999","","66030.00","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-019-54651","RE-PU-HCAM-2025-019-54651-2025-07-05T17:50:13.076Z-compiled","Adquisición del medicamento OMALIZUMAB SOLIDO PARENTERAL 150 MG CJ X VIALES para la Unidad Técnica de Farmacia Hospitalaria.","530809","","221307.00","USD"
"ocds-5wno2w-RE-PU-GMB-2025-01-20973","RE-PU-GMB-2025-01-20973-2025-08-12T22:32:11.326Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO DEL SISTEMA DE GESTIÓN EMPRESARIAL ERP OLYMPO V8.1","530704","","11550.00","USD"
"ocds-5wno2w-RE-PU-HVCM-2025-005-12070","RE-PU-HVCM-2025-005-12070-2025-06-07T15:46:48.597Z-compiled","ADQUISICIÓN DE PROCESADOR EXTERNO DE IMPLANTE COCLEARCOMPATIBLE CON LA MARCA COCHLEAR CON APOYO TECNOLÓGICO""","2025.320.1000.0000.90.00.000.004.000.0101.530255.000000.001.0000.0000-","","172616.52","USD"
"ocds-5wno2w-RE-PU-CGFT-2025-2-2562","RE-PU-CGFT-2025-2-2562-2025-06-30T16:30:15.398Z-compiled","PRESTACIÓN DEL SERVICIO DE MANTENIMIENTO DE ASCENSORES DEL EDIFICIO DE LA COMANDANCIA GENERAL DE LA FUERZA TERRESTRE","2025.070.1999.0000.01.00.000.001.000.1701.530404.000000.001.0000.0000-","","18946.92","USD"
"ocds-5wno2w-RE-PU-EPMOL-2025-002-1098994","RE-PU-EPMOL-2025-002-1098994-2025-06-20T17:04:23.630Z-compiled","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS VEHICULOS CON VIGENCIA TECNOLOGICA MARCA GREAT WALL MODELO POER DE LA EPMOL","5.3.04.055.3.08.035.3.08.13","","30838.92","USD"
"ocds-5wno2w-RE-PU-CAPBOL-2025-0001-105494","RE-PU-CAPBOL-2025-0001-105494-2025-07-02T17:40:03.300Z-compiled","ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA MOTORES FUERA DE BORDA YAMAHA ASIGNADOS A LA CAPITANÍA DE PUERTO BOLÍVAR","2025.070.3016.0000.91.00.000.003.000.0701.530813.000000.002.0000.0000-","","10996.06","USD"
"ocds-5wno2w-RE-PU-SZ-ELORO-2025-001-179196","RE-PU-SZ-ELORO-2025-001-179196-2025-06-20T17:04:26.116Z-compiled","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS VEHÍCULOS MARCA GREAT WALL MODELO POER POR VIGENCIA TECNOLÓGICA DE LA SUBZONA EL ORO","2025.052.0050.0000.01.00.000.001.000.0701.530813.000000.001.0000.0000-","","60002.08","USD"
"ocds-5wno2w-RE-PU-CELECEP-2025-14091-238940","RE-PU-CELECEP-2025-14091-238940-2025-06-27T16:30:19.126Z-compiled","TMA ADQUISICION DE SISTEMA DE MEDICION ESTATICA TIPO RADAR PARA LOS TANQUES DE ALMACENAMIENTO TRANSFERENCIA Y CONSUMO DE LA CENTRAL TERMICA JARAMIJO INCLUYE INSTALACION","1211600103","","1011498.29","USD"
"ocds-5wno2w-RE-PU-11-BCB-2025-001-92997","RE-PU-11-BCB-2025-001-92997-2025-07-18T17:01:51.852Z-compiled","MANTENIMIENTO DE LOS VEHÍCULOS DE LA 11 BCB EN VIGENCIA TECNOLÓGICA DE LOS RECURSOS LOGÍSTICOS","2025.070.1005.0000.57.00.000.002.000.0601.530405.000000.001.0000.0000-","","5850.55","USD"
"ocds-5wno2w-RE-PU-HEEE-2025-007-52558","RE-PU-HEEE-2025-007-52558-2025-07-19T17:16:45.583Z-compiled","ADQUISICION DEL MEDICAMENTO PEMBROLIZUMAB LIQUIDO PARENTERAL 25 MG/ML PARA EL HOSPITAL DE ESPECIALIDADES EUGENIO ESPEJO","2025.320.1420.0000.57.00.000.001.000.1701.530813.000000.002.0000.0000-","","510000.00","USD"
"ocds-5wno2w-RE-PU-21BS-2025-001-96739","RE-PU-21BS-2025-001-96739-2025-06-30T16:30:14.717Z-compiled","Servicio de mantenimiento preventivo para las camionetas Great Wall pertenecientes a lasunidades de la jurisdicción de la 21BS ?CÓNDOR?","2025.070.1043.0000.57.00.000.002.000.1405.530405.000000.001.0000.0000-","","3736.00","USD"
"ocds-5wno2w-RE-PU-EPP-2025-005-253178","RE-PU-EPP-2025-005-253178-2025-07-21T17:07:24.354Z-compiled","ADQUISICIÓN DE REPUESTOS PARA SOPLADORES DE HOLLIN PARA CALDERAS MARCA DIAMOND POWER","E1GA1152102MSO01218022119101000000000000","","228219.13","USD"
"ocds-5wno2w-RE-PU-ESPOLTECH-2025-001-375899","RE-PU-ESPOLTECH-2025-001-375899-2025-07-01T17:39:21.466Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO, DESARROLLO Y ACTUALIZACIÓN DEL SISTEMA CONTABLE XASS 11 Y XASS NET EN TODAS SUS VERSIONES PARA LA EMPRESA PUBLICA DE SERVICIOS ESPOL-TECH E.P","530701","","9072.00","USD"
"ocds-5wno2w-RE-PU-HGNGC-2025-003-818925","RE-PU-HGNGC-2025-003-818925-2025-08-12T22:32:31.451Z-compiled","ADQUISICIÓN DE REPUESTOS Y DEL SERVICIO DE MANTENIMIENTO CORRECTIVO Y PREVENTIVO PARA VENTILADORES BELLAVISTA MODELO 1000, DEL HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS","530813","","288037.07","USD"
"ocds-5wno2w-RE-PU-EPMGIDSA-2025-001-382149","RE-PU-EPMGIDSA-2025-001-382149-2025-06-30T16:30:13.419Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LOS TRES VEHÍCULOS MARCA CHEVROLET D-MAX CRDI PREMIER QUE SE ENCUENTRAN BAJO GARANTÍA TÉCNICA DE FÁBRICA DE LA EPM-GIDSA","5.3.04.05","","23078.40","USD"
"ocds-5wno2w-RE-PU-DNPJ-2025-012-183304","RE-PU-DNPJ-2025-012-183304-2025-08-12T22:32:35.333Z-compiled","MANTENIMIENTO CORRECTIVO NO ESTIPULADOS DENTRO DE LATICKETERA POR VIGENCIA TECNOLÓGICA, PARA EL PARQUE AUTOMOTORMARCA KIA, PERTENECIENTE A LA DNPJ Y ASIGNADOS A NIVEL NACIONAL","2025.057.0000.0000.91.00.000.001.000.1701.530405.000000.001.0000.0000-","","96666.67","USD"
