"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940-2025-07-16T16:57:15.644Z-compiled","tender","EC-RUC-1768152800001-238940","CORPORACION ELECTRICA DEL ECUADOR CELEC EP.","es","2025-07-16T12:03:58-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178-2025-07-23T17:00:37.046Z-compiled","tender","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","es","2025-07-23T12:08:30-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702-2025-07-03T17:28:58.094Z-compiled","tender","EC-RUC-0968520100001-5702","DIRECCION HOSPITALARIA GUAYAQUIL","es","2025-07-03T12:35:05-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497-2025-07-02T17:40:01.560Z-compiled","tender","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","es","2025-07-02T12:46:48-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620-2025-07-09T17:50:16.923Z-compiled","tender","EC-RUC-1160000750001-2620","GOBIERNO AUTONOMO MUNICIPAL DEL CANTON GONZANAMA","es","2025-07-09T12:56:58-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020-2025-07-18T17:01:41.727Z-compiled","tender","EC-RUC-1768192000001-931020","SERVICIO NACIONAL DE ATENCIÓN INTEGRAL A PERSONAS ADULTAS PRIVADAS DE LA LIBERTAD Y A ADOLESCENTES INFRACTORES","es","2025-07-18T12:08:29-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706-2025-08-12T22:31:16.043Z-compiled","tender","EC-RUC-1768009680001-2706","HOSPITAL NAVAL GUAYAQUIL","es","2025-08-12T18:24:59-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514-2025-06-20T17:01:43.946Z-compiled","tender","EC-RUC-1360002170001-8514","ULEAM","es","2025-06-20T12:07:57-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177-2025-07-12T17:13:36.305Z-compiled","tender","EC-RUC-0760001580001-60177","Universidad Tecnica de Machala","es","2025-07-12T12:22:13-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","tender","EC-RUC-1768061170001-25978","CUERPO DE BOMBEROS DEL CANTON MEJIA","es","2025-06-23T12:01:37-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-CGFAE-2025-002-2679","RE-PU-CGFAE-2025-002-2679-2025-06-10T15:49:56.244Z-compiled","tender","EC-RUC-1768017510001-2679","FAE COMANDO GENERAL","es","2025-06-10T10:53:16-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497-2025-06-20T17:01:42.174Z-compiled","tender","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","es","2025-06-20T12:07:56-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-ETAPA-2025-03-312203","RE-PU-ETAPA-2025-03-312203-2025-06-26T16:31:30.438Z-compiled","tender","EC-RUC-0160050020001-312203","Empresa Pública Municipal de Telecomunicaciones, Agua Potable, Alcantarillado y Saneamiento de Cuenca ETAPA EP","es","2025-06-26T11:34:22-05:00","[""planning"",""tender""]"
"ocds-5wno2w-RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745-2025-07-10T17:27:50.373Z-compiled","tender","EC-RUC-0160000190001-30745","GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL AZUAY","es","2025-07-10T12:34:27-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-006-748941","RE-PU-CMFIEDM-2025-006-748941-2025-08-12T22:30:58.502Z-compiled","tender","EC-RUC-1768186110001-748941","CENTRO MEDICO FAMILIAR INTEGRAL Y ESPECIALIDADES, DIALISIS LA MARISCAL","es","2025-08-12T18:23:42-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-IESSHGM-2025-01-57617","RE-PU-IESSHGM-2025-01-57617-2025-08-28T18:56:59.451Z-compiled","tender","EC-RUC-0968560320001-57617","HOSPITAL GENERAL - MILAGRO","es","2025-08-28T14:05:29-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CBDMQ-2025-001-2525","RE-PU-CBDMQ-2025-001-2525-2025-07-22T17:04:38.864Z-compiled","tender","EC-RUC-1768097950001-2525","CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO","es","2025-07-22T12:11:49-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HCAM-2025-018-54651","RE-PU-HCAM-2025-018-54651-2025-07-15T16:57:58.923Z-compiled","tender","EC-RUC-1768046450001-54651","HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN","es","2025-07-15T12:05:07-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-DNCTSV-2025-001-2506","RE-PU-DNCTSV-2025-001-2506-2025-06-04T15:47:21.585Z-compiled","tender","EC-RUC-1768049040001-2506","DIRECCION NACIONAL DE CONTROL DE TRANSITO Y SEGURIDAD VIAL","es","2025-06-04T10:50:50-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-GADCUMBARATZA-2025-006-110599","RE-PU-GADCUMBARATZA-2025-006-110599-2025-06-04T15:45:06.910Z-compiled","tender","EC-RUC-1960139030001-110599","GOBIERNO AUTONOMO PARROQUIAL RURAL DE CUMBARATZA","es","2025-06-04T10:50:50-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-IIIDE-2025-03-104585","RE-PU-IIIDE-2025-03-104585-2025-07-03T17:28:55.985Z-compiled","tender","EC-RUC-1768002080001-104585","Tercera Division de la F.T ""Tarqui""","es","2025-07-03T12:35:06-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEJCA-2025-153-87497","RE-PU-HEJCA-2025-153-87497-2025-07-08T17:48:26.185Z-compiled","tender","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","es","2025-07-08T12:55:18-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UA-2025-001-596700","RE-PU-UA-2025-001-596700-2025-06-27T16:25:43.653Z-compiled","tender","EC-RUC-0968604120001-596700","UNIVERSIDAD DE LAS ARTES","es","2025-06-27T11:31:55-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UNACH-2025-004-124774","RE-PU-UNACH-2025-004-124774-2025-07-01T17:39:20.728Z-compiled","tender","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","es","2025-07-01T12:46:29-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CBDMQ-2025-002-2525","RE-PU-CBDMQ-2025-002-2525-2025-07-22T17:04:40.741Z-compiled","tender","EC-RUC-1768097950001-2525","CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO","es","2025-07-22T12:11:49-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HOSNAG-2025-007-2706","RE-PU-HOSNAG-2025-007-2706-2025-07-23T17:00:42.425Z-compiled","tender","EC-RUC-1768009680001-2706","HOSPITAL NAVAL GUAYAQUIL","es","2025-07-23T12:08:31-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADMP_-2025-002-51620","RE-PU-GADMP_-2025-002-51620-2025-08-26T19:01:06.718Z-compiled","tender","EC-RUC-1960139890001-51620","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA","es","2025-08-26T14:09:02-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADPSE-2025-02-30375","RE-PU-GADPSE-2025-02-30375-2025-07-12T17:13:39.461Z-compiled","tender","EC-RUC-0968580510001-30375","GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA","es","2025-07-12T12:22:11-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADMCPZ-2025-001-2345","RE-PU-GADMCPZ-2025-001-2345-2025-07-19T17:16:43.138Z-compiled","tender","EC-RUC-1660000250001-2345","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PASTAZA","es","2025-07-19T12:22:37-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UINPIAW23-2025-001-959480","RE-PU-UINPIAW23-2025-001-959480-2025-08-22T18:35:57.726Z-compiled","tender","EC-RUC-1768192190001-959480","UNIVERSIDAD INTERCULTURAL DE LAS NACIONALIDADES Y PUEBLOS INDIGENAS AMAWTAY WASI","es","2025-08-22T13:48:56-05:00","[""planning"",""tender"",""award"",""contract"",""implementation""]"
"ocds-5wno2w-RE-PU-MIMG-2025-002-44856","RE-PU-MIMG-2025-002-44856-2025-08-12T22:32:10.649Z-compiled","tender","EC-RUC-0960000220001-44856","Municipalidad de Guayaquil","es","2025-08-12T18:25:07-05:00","[""planning"",""tender"",""award"",""contract""]"
