"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940-2025-07-16T16:57:15.644Z-compiled","RE-PU-CELECEP-2025-04197-238940","RE-PU-CELECEP-2025-04197-238940","TPI SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS CAMIONETAS GREAT WALL ADQUIRIDAS MEDIANTE CATALOGO ELECTRONICO","active","EC-RUC-1768152800001-238940","CORPORACION ELECTRICA DEL ECUADOR CELEC EP.","46513.35","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T18:00:00-05:00","2025-06-05T15:00:00-05:00","2025-06-05T15:00:00-05:00","6","2025-05-29T18:00:00-05:00","","","","","Otros Parámetros de Calificación,Personal Técnico,Experiencia General,Experiencia Personal Técnico","","2025-06-16T20:00:00-05:00","2025-06-16T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178-2025-07-23T17:00:37.046Z-compiled","RE-PU-EPP-2025-004-253178","RE-PU-EPP-2025-004-253178","ADQUISICIÓN DE EXTRACTOR DE CASQUILLO Y BRAZO ARTICULADO","active","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","494860.33","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-05-29T19:30:00-05:00","2025-06-06T09:30:00-05:00","2025-06-06T09:30:00-05:00","7","2025-05-29T19:30:00-05:00","","","","","Otros Parámetros de Calificación","","2025-06-20T20:00:00-05:00","2025-06-20T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702-2025-07-03T17:28:58.094Z-compiled","RE-PU-DHG-2025-008-5702","RE-PU-DHG-2025-008-5702","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO YCORRECTIVO PARA LOS VEHÍCULOS POLICIALES MARCA MERCEDESBENZ DE LA DIRECCIÓN HOSPITALARIA GUAYAQUIL","active","EC-RUC-0968520100001-5702","DIRECCION HOSPITALARIA GUAYAQUIL","41051.28","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T17:30:00-05:00","2025-06-06T13:00:00-05:00","2025-06-06T13:00:00-05:00","7","2025-05-29T17:30:00-05:00","","","","","Otros Parámetros de Calificación,Garantía Técnica,Plan de Trabajo","","2025-06-18T15:00:00-05:00","2025-06-18T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497-2025-07-02T17:40:01.560Z-compiled","RE-PU-HEJCA-2025-047-87497","RE-PU-HEJCA-2025-047-87497","ADQUISICIÓN DE ASCIMINIB SOLIDO ORAL 40 MG","active","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","20141.94","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-05-29T18:00:00-05:00","2025-06-04T10:00:00-05:00","2025-06-04T10:00:00-05:00","5","2025-05-29T18:00:00-05:00","","","","","Otros Parámetros de Calificación","","2025-06-17T20:00:00-05:00","2025-06-17T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620-2025-07-09T17:50:16.923Z-compiled","RE-PU-GADG-2025-002-2620","RE-PU-GADG-2025-002-2620","ADQUISICIÓN DE REPUESTOS, ACCESORIOS Y SERVICIO DE MANTENIMIENTO PREVENTIVO DE VOLQUETES DONGFENG PLACAS LMA-1329, LMA-1330 DE PROPIEDAD DEL GAD-GONZANAMÁ","active","EC-RUC-1160000750001-2620","GOBIERNO AUTONOMO MUNICIPAL DEL CANTON GONZANAMA","22096.26","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-05-29T12:00:00-05:00","2025-06-06T10:00:00-05:00","2025-06-06T10:00:00-05:00","7","2025-05-29T12:00:00-05:00","","","","TRUE","Oferta Económica,Cumplimiento Especificaciones,Experiencia Específica","","2025-06-17T17:00:00-05:00","2025-06-17T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020-2025-07-18T17:01:41.727Z-compiled","RE-PU-SNAI-2025-003-931020","RE-PU-SNAI-2025-003-931020","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LAS CAMIONETAS MARCAGREAT WALL MODELO POER DEL SNAI","active","EC-RUC-1768192000001-931020","SERVICIO NACIONAL DE ATENCIÓN INTEGRAL A PERSONAS ADULTAS PRIVADAS DE LA LIBERTAD Y A ADOLESCENTES INFRACTORES","70591.56","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-21T20:00:00-05:00","2025-05-26T16:00:00-05:00","2025-05-26T16:00:00-05:00","4","2025-05-21T20:00:00-05:00","","","","TRUE","Cumplimiento Especificaciones,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-04T16:00:00-05:00","2025-06-04T16:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706-2025-08-12T22:31:16.043Z-compiled","RE-PU-HOSNAG-2025-006-2706","RE-PU-HOSNAG-2025-006-2706","MANTENIMIENTO PREVENTIVO DE EQUIPOS MEDICOS DEL CENTRO QUIRURGICO CON GARANTIA EXTENDIDA POR VIGENCIA TECNOLOGICA HOSNAG 2025","active","EC-RUC-1768009680001-2706","HOSPITAL NAVAL GUAYAQUIL","11520.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T18:00:00-05:00","2025-06-06T10:00:00-05:00","2025-06-06T10:00:00-05:00","7","2025-05-29T18:00:00-05:00","","","","","Oferta Económica,Cumplimiento Especificaciones,Garantía Técnica,Equipo Propuesto,Personal Técnico","","2025-06-16T18:00:00-05:00","2025-06-16T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514-2025-06-20T17:01:43.946Z-compiled","RE-PU-ULEAM-2025-002-8514","RE-PU-ULEAM-2025-002-8514","SERVICIO DE ACCESO A UNA BASE DE DATOS PARA ANÁLISIS LEGAL PARA LA VISUALIZACIÓN DE LIBROS, REVISTAS, TEXTO COMPLETO, LEGISLACIÓN, NORMATIVA Y JURISPRUDENCIA CON COBERTURA DE DIFERENTES PAÍSES, CON HERRAMIENTAS DE ANÁLISIS LEGAL BASADAS EN IA.","active","EC-RUC-1360002170001-8514","ULEAM","17445.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T17:00:00-05:00","2025-06-04T15:00:00-05:00","2025-06-04T15:00:00-05:00","5","2025-05-29T17:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica","","2025-06-09T16:00:00-05:00","2025-06-09T16:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177-2025-07-12T17:13:36.305Z-compiled","RE-PU-UTMACH-2025-001-60177","RE-PU-UTMACH-2025-001-60177","SUSCRIPCIÓN DE LA BASE DE DATOS EBSCO HOST PARA LA BIBLIOTECA GENERAL DE LA UNIVERSIDAD TÉCNICA DE MACHALA","active","EC-RUC-0760001580001-60177","Universidad Tecnica de Machala","31987.94","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-29T15:00:00-05:00","2025-06-04T15:00:00-05:00","2025-06-04T15:00:00-05:00","6","2025-05-29T15:00:00-05:00","","","","","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","","2025-06-09T15:00:00-05:00","2025-06-09T15:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978","Mantenimiento preventivo y correctivo de la camioneta GREAT WALL modelo 7 con vigencia tecnológica del CBCM","active","EC-RUC-1768061170001-25978","CUERPO DE BOMBEROS DEL CANTON MEJIA","1677.83","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-30T17:00:00-05:00","2025-06-05T17:00:00-05:00","2025-06-05T17:00:00-05:00","6","2025-05-30T17:00:00-05:00","","","","","Plazo de Entrega,Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Garantía Técnica,Equipo Propuesto,Personal Técnico","","2025-06-16T17:00:00-05:00","2025-06-16T17:00:00-05:00","","1"
